business_name,address,phone_number,email,city,state,zip_code_postcode,website,ticker_symbol,kindex_score,doordash_url,ubereats_url,grubhub_url,business_location,latitude,longitude,category,description,owner_name,is_black_owned,is_verified,is_claimed,claimed_by_user_id,loi_signed,loi_date,is_premium,subscription_tier,tier_level,kindex_velocity,review_score,review_count,total_sentiment_score,interaction_count,established_year,is_veteran,is_ecommerce,is_farmer,is_wholesale,is_retail,is_delivery_eligible,has_flash_beacon,is_priority_pinned,is_ar_enabled,arc_asset_url,hero_image,instagram_url,facebook_url,tiktok_url,linkedin_url,marketing_tier,marketing_generations_used,scheduled_promo_date,monthly_promo_count,monthly_promo_reset_date,connection_count,opening_time,closing_time,photo_gallery
24 Hour Fitness,"12553 Westheimer Rd, Houston, TX 77077",2814931874,,Houston,Texas,77077,https://www.24hourfitness.com/gyms/houston-tx/dairy-ashford-sport?Adb_id=GGL_LOC_ACQ_CDP,24HOU,500,,,,"29.7341821, -95.6045559",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Vibe Called Hair - Houston Walk in Hair Salon offering Extensions & Silk Press,"5202 Cedar St, Bellaire, TX 77401",8324879854,,Bellaire,Texas,77401,https://booking.mangomint.com/avibecalledhair1,AVIBE,500,,,,"29.707214, -95.4706950",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Village,"3003 N Belt Line Rd, Irving, TX 75062",9725701111,,Irving,Texas,75062,https://africanvillagerestauranttx.com/kiTS,AFRIC,500,,,,"32.8478968, -96.9936002",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRO BEAUTY & BRAIDS,"616 Fm 685, Pflugerville, TX 78660",5128225849,,Pflugerville,Texas,78660,,AFROB,500,,,,"30.4420259, -97.6108606",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarillo AREA BLACK CHAMBER OF COMMERCE,"900 N Hughes St, Amarillo, TX 79107",8064102600,,Amarillo,Texas,79107,http://aabcc.org/,AMARI,500,,,,"35.2232208, -101.8383669",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie B’s Southern Cuisine (Soul Y Mex Kitchen),"9603 Fm 1960 W, Houston, TX 77070",3465696070,,Houston,Texas,77070,,ANNIE,500,,,,"29.9422948, -95.5687218",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anything’s Baked Potato,"1326 Rosewood Ave, Austin, TX 78702",5122437702,,Austin,Texas,78702,https://www.anythingsaustin.com/,ANYTH,500,,,,"30.2690162, -97.7246441",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Daiquiri Factory,"2000 E 12Th St, Austin, TX 78702",5129533519,,Austin,Texas,78702,http://www.austindaiquirifactory.com/,AUSTI,500,,,,"30.2741042, -97.718834",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authentic New York Pizza,"5838 S Staples St, Corpus Christi, TX 78413",3619861151,,Corpus Christi,Texas,78413,http://www.newyorkstylepizza.cc/,AUTHE,500,,,,"27.6955556, -97.3763889",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aveda Arts & Sciences Institute Austin,"6001 Middle Fiskville Rd, Austin, TX 78752",5123208080,,Austin,Texas,78752,https://avedaarts.edu/locations/austin/?utm_source=google&utm_medium=organic&utm_content=main_button&utm_campaign=gmb,AVEDA,500,,,,"30.3224933, -97.7090519",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenue Five Institute,"8620 Burnet Rd #300, Austin, TX 78757",5129682835,,Austin,Texas,78757,http://www.avenuefive.edu/,AVENU,500,,,,"30.3693253, -97.7288999",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BareSkyn Aesthetics,"607 N 10Th St A, Waco, TX 76701",2543344492,,Waco,Texas,76701,https://bareskynaesthetics.glossgenius.com/,BARES,500,,,,"31.5568167, -97.1405606",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBeautiful Natural Hair Care /Silk Press,"947 Gessner Rd B180 Suite 104, Houston, TX 77024",3465208086,,Houston,Texas,77024,https://www.beautifulforu.com/,BBEAU,500,,,,"29.7834174, -95.5451586",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautimous Me Salon,"212 N Bryan Ave #103, Bryan, TX 77803",9797034584,,Bryan,Texas,77803,https://phorest.com/book/salons/beautimousmesalon,BEAUT,500,,,,"30.6753938, -96.3740818",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEC Studio,"515 Westheimer Rd H, Houston, TX 77006",8327860541,,Houston,Texas,77006,http://www.becstudio.co/,BECST,500,,,,"29.7441728, -95.3881649",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black and White Tax Services,"1817 S High St, Longview, TX 75602",9037029447,,Longview,Texas,75602,,BLACK,500,,,,"32.4709303, -94.74208",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Book Houston,"12401 S Post Oak Rd Suite 228, Houston, TX 77045",3464295112,,Houston,Texas,77045,http://www.blackbookhouston.com/,5EZ2F,500,,,,"29.6457435, -95.4625459",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Cultural Initiative,"2909 E Arkansas Ln, Arlington, TX 76010",9727679708,,Arlington,Texas,76010,,IDKOQ,500,,,,"32.7066501, -97.0578236",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hair Design,"6111 Cypress Creek Pkwy Ste 201, Houston, TX 77069",2812502615,,Houston,Texas,77069,,6JPPO,500,,,,"29.974839, -95.520991",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Ink Capital, LLC","2651 N Harwood St #200, Dallas, TX 75201",8008924535,,Dallas,Texas,75201,,7MSVT,500,,,,"32.792856, -96.8064807",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Roses Hair Weaving Studio,"396 W Greens Rd Suite 424, Houston, TX 77067",9372704091,,Houston,Texas,77067,https://cecemystylist.com/,U1KRD,500,,,,"29.9498169, -95.4214881",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE WATER BAYOU WING MASTERS | Soul Food,"720 Texas Blvd, Texarkana, TX 75501",9038095600,,Texarkana,Texas,75501,https://bluewaterbayou.top/,BLUEW,500,,,,"33.4260443, -94.0479468",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO BBQ- Korean Grill & Hot Pot,"6042 S Padre Island Dr, Corpus Christi, TX 78412",3614520702,,Corpus Christi,Texas,78412,http://bokoreanbbq.com/,BOBBQ,500,,,,"27.7042278, -97.3612371",,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
