business_name,address,phone_number,email,city,state,zip_code_postcode,website,description,latitude,longitude,ticker_symbol,kindex_score,is_black_owned,business_location,category,hero_image,owner_name,is_premium,tier_level,is_ecommerce,is_veteran,subscription_tier,marketing_generations_used,is_priority_pinned,is_claimed,kindex_velocity,ar_asset_url,is_ar_enabled,has_flash_beacon,loi_signed,marketing_tier,doordash_url,ubereats_url,grubhub_url,is_delivery_eligible,firestore_location,search_keywords,is_farmer,is_wholesale,is_retail,is_verified,review_count,interaction_count,total_sentiment_score
Rollin' Smoke BBQ,"200 S Main St, Anthony, TX 79821",9158868636,,Anthony,Texas,79821,https://www.facebook.com/RollinSmokeTipOfTexasBBQ915,,31.9997541,-106.6061502,ROLL,500,FALSE,"31.9997541, -106.6061502",Barbecue restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.9997541, -106.6061502",,FALSE,FALSE,FALSE,FALSE,0,0,0
Blessed Barber Studio West El Paso,"7049A S Desert Blvd #111, Canutillo, TX 79835",9159997092,,Canutillo,Texas,79835,,,31.9105746,-106.5847354,BLES,500,FALSE,"31.9105746, -106.5847354",Barber shop,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.9105746, -106.5847354",,FALSE,FALSE,FALSE,FALSE,0,0,0
TIPPI TEAS,"5034 Doniphan Dr, El Paso, TX 79932",9152391650,,El Paso,Texas,79932,http://www.tippiteas.com/,,31.842839,-106.580135,TIPP,500,FALSE,"31.842839, -106.580135",Health food store,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.842839, -106.580135",,FALSE,FALSE,FALSE,FALSE,0,0,0
Aura Beauty Inc,"7451 Paseo Del Norte Ste B-3, El Paso, TX 79911",9156159839,,El Paso,Texas,79911,http://aurabeautyinc.com/,,31.8870326,-106.5681459,AURA,500,FALSE,"31.8870326, -106.5681459",Eyebrow bar,,,FALSE,,TRUE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.8870326, -106.5681459",,FALSE,FALSE,FALSE,FALSE,0,0,0
Famous Dave's Bar-B-Que,"7501 N Mesa St, El Paso, TX 79912",9157605355,,El Paso,Texas,79912,https://www.famousdaves.com/El-Paso,Outlet of a BBQ chain serving wood-smoked meats & sides in an American West-themed space.,31.837773,-106.564452,FAMO,500,FALSE,"31.837773, -106.564452",Barbecue restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.837773, -106.564452",,FALSE,FALSE,FALSE,FALSE,0,0,0
Golden Corral Buffet & Grill,"7420 N Mesa St, El Paso, TX 79912",9158338337,,El Paso,Texas,79912,https://www.goldencorral.com/locations/538/golden-corral-mesa-street?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=538,"Family-friendly buffet chain featuring all-you-can-eat American fare, plus salad & dessert bars.",31.8381721,-106.5600825,GOLD,500,FALSE,"31.8381721, -106.5600825",Buffet restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8381721, -106.5600825",,FALSE,FALSE,FALSE,FALSE,0,0,0
McAlister's Deli,"7040 N Mesa St, El Paso, TX 79912",9156420388,,El Paso,Texas,79912,https://locations.mcalistersdeli.com/tx/el-paso/7040-n-mesa-st?utm_source=google&utm_medium=organic&utm_campaign=locations_partner,"Easygoing counter-service chain known for its sandwiches, stuffed baked potatoes & sweet tea.",31.8365451,-106.5522844,MCAL,500,FALSE,"31.8365451, -106.5522844",Sandwich shop,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8365451, -106.5522844",,FALSE,FALSE,FALSE,FALSE,0,0,0
Pokeworks,"6951 N Mesa St, El Paso, TX 79912",9152342550,,El Paso,Texas,79912,http://www.pokeworks.com/,,31.8350019,-106.5488456,POKE,500,FALSE,"31.8350019, -106.5488456",Poke bar,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8350019, -106.5488456",,FALSE,FALSE,FALSE,FALSE,0,0,0
Luxor Salon & Barber Co.,"750 Sunland Park Dr, El Paso, TX 79912",9153304108,,El Paso,Texas,79912,https://booksy.com/en-us/1246611_luxor-salon-barber-co_professional-services_36604_el-paso#ba_s=sh_1,,31.8140811,-106.5443006,LUXO,500,FALSE,"31.8140811, -106.5443006",Barber shop,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8140811, -106.5443006",,FALSE,FALSE,FALSE,FALSE,0,0,0
Monty’s Beauty Salon,"6633 N Mesa St Suite 210, El Paso, TX 79912",9153215474,,El Paso,Texas,79912,https://square.site/book/B3RCF1YDVX0WV/l-m-beauty-el-paso-tx,,31.8333745,-106.5414187,MONT,500,FALSE,"31.8333745, -106.5414187",Hair salon,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8333745, -106.5414187",,FALSE,FALSE,FALSE,FALSE,0,0,0
Peter's German Grill & Bakery,"255 Shadow Mountain Dr, El Paso, TX 79912",9152645784,,El Paso,Texas,79912,https://peterschimkus.wixsite.com/germangrillandbakery,"Compact, counter-serve locale offering traditional German dishes, breads, cakes & desserts.",31.8328583,-106.5265527,PETE,500,FALSE,"31.8328583, -106.5265527",German restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8328583, -106.5265527",,FALSE,FALSE,FALSE,FALSE,0,0,0
Topgolf El Paso,"365 Vin Rambla Dr, El Paso, TX 79912",9158459028,,El Paso,Texas,79912,https://topgolf.com/us/el-paso/,Sprawling entertainment venue with a high-tech driving range & swanky lounge with drinks & games.,31.8107961,-106.5250411,TOPG,500,FALSE,"31.8107961, -106.5250411",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8107961, -106.5250411",,FALSE,FALSE,FALSE,FALSE,0,0,0
